Service;Subservice;Area Of Service ;Provinsi;Kab/Kota (Edit);Clnt Id;Clnt Name;Appl Id;Request Reference;Status Simf;Channel;Freq;Freq_Pair;Bwidth;Erp Pwr Dbm;Curr Lic Num;Site Id;Stn Name;Stn Addr;Sid Lat;Sid Long;License Date ;Validity Date ;Ap Id;Tcs Id;Efl Id;Stasiun Lawan;Kab/Kota;NAMA UNIT PELAKSANA TEKNIS;BAND;15 Pita
Land Mobile (private);Standard;JALAN RAYA SENGGIGI KM. 17 DUSUN PANDANAN DESA MALAKA KECAMATAN PEMENANG, LOMBOK UTARA, PEMENANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00104898;QUEEN GILI TRAWANGAN, PT.;030483022020;0857515;Granted;;159.925;159.925;16;45.9794;02248054-000SU/2620202025;0001;BS. 01 QUEEN GILI TRAWANGAN KECAMATAN PEMENANG;JALAN RAYA SENGGIGI KM. 17 DUSUN PANDANAN DESA MALAKA KECAMATAN PEMENANG;-8.41241667;116.05352778;25/02/2020;24/02/2030;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL RAYA TANJUNG, LOMBOK UTARA, TANJUNG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00103494;PLN (PERSERO), PT.;039342052019;0710210;Granted;;351.6;356.6;16;45.9794;02111826-000SU/2620192024;0001;BS. ULP TANJUNG;JL RAYA TANJUNG;-8.35777778;116.14944444;31/05/2019;30/05/2029;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL ARYA BANJAR GETAS, LOMBOK UTARA, TANJUNG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00103494;PLN (PERSERO), PT.;039350052019;0710212;Granted;;351.975;356.975;16;45.9794;02111846-000SU/2620192024;00011;BS. GI TANJUNG;JL ARYA BANJAR GETAS;-8.39805556;116.12666667;31/05/2019;30/05/2029;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;DUSUN GILI TRAWANGAN, DS. GILI INDAH, LOMBOK UTARA, PEMENANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00111108;OMBAK SUNSET, PT.;035907032017;0429880;Granted;;150.425;150.425;16;43.98;01934196-000SU/2620172022;0001;BS. OMBAK SUNSET;DUSUN GILI TRAWANGAN, DS. GILI INDAH;-8.35026111;116.02884444;23/03/2017;22/03/2027;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. RAYA SENGGIGI, MALIMBU, LOMBOK UTARA, PEMENANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00119780;ROYAL AVILA, PT.;032603052022;1330024;Granted;;157.775;152.775;16;49.0206;02563836-000SU/2620222027;0001;REP. ROYAL AVILLA HOTEL SENGGIGI;JL. RAYA SENGGIGI, MALIMBU;-8.44638889;116.03277778;02/06/2022;02/06/2027;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;GANGGA, LOMBOK UTARA, KAYANGAN, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00103494;PLN (PERSERO), PT.;039342052019;0710210;Granted;;356.6;351.6;16;48.0206;02111833-000SU/2620192024;0008;REP. TANJUNG;GANGGA;-8.30333333;116.28194444;31/05/2019;30/05/2029;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN DUSUN GILI TRAWANGAN, GILI INDAH PEMENANG - LOMBOK UTARA,LOMBOK UTARA,PEMENANG,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00104323;"KOPERASI ANGKUTAN LAUT ""KARYA BAHARI""";030308022024;3067731;Granted;;168.175;163.175;16;48.0206;02826115-000SU/2620242029;0002;REP KOPERASI ANGKUTAN LAUT KARYA BAHARI;JALAN DUSUN GILI TRAWANGAN, GILI INDAH PEMENANG - LOMBOK UTARA;-8.39977778;116.10135556;16/02/2024;14/02/2029;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL.SAMBIK BANGKOL, LOMBOK UTARA, GANGGA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00103494;PLN (PERSERO), PT.;038094102021;1189410;Granted;;352;357;16;48.0206;02494415-000SU/2620212026;00012;REP. DIST. SANTONG (19);JL.SAMBIK BANGKOL;-8.32986111;116.29708333;22/10/2021;21/10/2026;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL.SAMBIK BANGKOL, LOMBOK UTARA, GANGGA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00103494;PLN (PERSERO), PT.;037367102021;1185251;Granted;;364.25;359.25;16;48.0206;02492500-000SU/2620212026;00012;01. REP. KIT. SANTONG (19);JL.SAMBIK BANGKOL;-8.32986111;116.29708333;19/10/2021;18/10/2026;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;ANJAH DUSUN GOA DESA BENTEK KECAMATAN GANGGA, LOMBOK UTARA, GANGGA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00105242;SUAR INVESTINDO CAPITAL, PT.;038624122020;1034157;Granted;;155.175;150.175;16;48.0206;02398740-000SU/2620202025;0001;REP. SUAR INVESTINCO CAPITAL KLU;ANJAH DUSUN GOA DESA BENTEK KECAMATAN GANGGA;-8.39552778;116.19019444;06/12/2020;05/12/2025;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. SESAIT DS. KAYANGAN KEC. LOMBOK TIMUR, LOMBOK UTARA, KAYANGAN, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;LOMBOK UTARA;00103494;PLN (PERSERO), PT.;031429102016;0394984/1;Granted;;169.45;;16;49.99213;01903368-000SU/2620162021;0004;REPEATER GANGGA-LOMBOK;JL. SESAIT DS. KAYANGAN KEC. LOMBOK TIMUR;-8.30344444;116.28211111;31/03/2023;24/10/2026;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Broadcast;FM;TANJUNG, PEMENANG, GANGGA;NUSA TENGGARA BARAT;LOMBOK UTARA;1035;LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA;019531092020;0972624;Granted;;92.4;;300;65.3;02348518-000SU/2020202025;0001;LPP RRI TANJUNG;JL. OBEROI, SIGAR PENJALIN;-8.36754444;116.12476667;29/09/2020;28/09/2025;;;;;LOMBOK UTARA;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JALAN GARUDA NO. 30 KELURAHAN LEMPAH - SUMBAWA BESAR (HOTEL 99 BALONG),SUMBAWA,SUMBAWA,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00122383;HOTEL 99 BALONG, CV.;034642102023;2855776;Granted;;151.55;151.55;16;36.9897;02763450-000SU/2620232028;0001;HT. 01 BERGERAK DISEKITAR KELURAHAN LEMPEH SUMBAWA BESAR;JALAN GARUDA NO. 30 KELURAHAN LEMPAH - SUMBAWA BESAR (HOTEL 99 BALONG);-8.48872222;117.41525;24/10/2023;22/10/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN RAYA SAMOTA - SUMBAWA BESAR (GRAND SAMOTA HOTEL),SUMBAWA,LABUHAN BADAS,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00122224;SINAR SAMOTA LESTARI, CV.;033685102023;2812567;Granted;;155.7;155.7;16;36.9897;02760883-000SU/2620232028;0001;HT. 01 BERGERAK DISEKITAR KEC. SUMBAWA BESAR KEL. BRANG BIJI;JALAN RAYA SAMOTA - SUMBAWA BESAR (GRAND SAMOTA HOTEL);-8.473;117.40786111;13/10/2023;11/10/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;SUMBAWA;00122386;TUGU ABADI PERKASA, PT.;034502102023;2850369;Granted;;155.025;155.025;16;36.9897;02763140-000SU/0620232028;0002;HT. 02 - HT. 06 BERGERAK DISEKITAR KEL. LEMPEH - SUMBAWA;JALAN GARUDA NO. 44 KELURAHAN LEMPEH - SUMBAWA BESAR (KALOKA AIRPORT HOTEL);-8.48633333;117.41144444;20/10/2023;18/10/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;SUMBAWA;00122209;AGUNG UNGGUL MANDIRI, PT.;032904102023;2802487;Granted;;406.625;406.625;16;36.9897;02760357-000SU/0620232028;0002;HT. 2 - HT. 2 BERGERAK DISEKITAR KEC. SUMBAWA KEL. UMA SIMA;JALAN MANGGIS NO 25 SUMBAWA;-8.49036111;117.423;05/10/2023;03/10/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN DURIAN NO. 59 KEBAYAN - SUMBAWA,SUMBAWA,SUMBAWA,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00122223;SURYADI, PERUSAHAAN PERURANGAN;034038102023;2816511;Granted;;407.1;407.1;25;36.9897;02761862-000SU/2620232024;0001;HT 01 BERGERAK SEKITAR;JALAN DURIAN NO. 59 KEBAYAN - SUMBAWA;-8.4875;117.42447222;19/10/2023;18/10/2025;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;DUSUN GEDAL, DESA/KELURAHAN LABUHAN AJI, KEC. LABUHAN BADAS, KAB. SUMBAWA, PROVINSI NUSA TENGGAR, SUMBAWA, LABUHAN BADAS, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00121367;MOYO SAFARI ABADI, PT.;034504032023;1817371;Granted;;167.45;167.45;16;36.9897;02693404-000SU/0620232028;0001;HT. 2 S/D 8 BERGERAK SEK. P.MOYO, SUMBAWA,NTB;DUSUN GEDAL, DESA/KELURAHAN LABUHAN AJI, KEC. LABUHAN BADAS, KAB. SUMBAWA, PROVINSI NUSA TENGGAR;-8.26277778;117.49888889;24/04/2023;23/04/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA RANAN, ROPANG, SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, ROPANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;7927;AMMAN MINERAL NUSA TENGGARA, PT;036993072022;1397039;Granted;;153.475;158.475;16;36.9897;02587600-000SU/0620222027;0002;HT. 01 - 50 - BERGERAK SEKITAR SUMBAWA;DESA RANAN, ROPANG, SUMBAWA, NUSA TENGGARA BARAT;-8.88187222;117.59034167;11/08/2022;10/08/2027;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DODO, DESA LUNYUK ODE, KECAMATAN LUNYUK, KABUPATEN SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, LUNYUK, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;7927;AMMAN MINERAL NUSA TENGGARA, PT;036991072022;1462832;Granted;;158.525;152.45;16;36.9897;02587597-000SU/0620222027;0002;HT. 01 - 50 - BERGERAK SEKITAR SUMBAWA;DODO, DESA LUNYUK ODE, KECAMATAN LUNYUK, KABUPATEN SUMBAWA, NUSA TENGGARA BARAT;-8.9657;117.384;11/08/2022;10/08/2027;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA LUNYUK ODE, KECAMATAN LUNYUK, KABUPATEN SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, LUNYUK, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;7927;AMMAN MINERAL NUSA TENGGARA, PT;036995072022;1399790;Granted;;153.35;158.35;16;38.9897;02587595-000SU/0620222027;0003;MU. 01 - 10 - BERGERAK SEKITAR SUMBAWA;DESA LUNYUK ODE, KECAMATAN LUNYUK, KABUPATEN SUMBAWA, NUSA TENGGARA BARAT;-8.96942778;117.30296389;11/08/2022;10/08/2027;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN LINTAS SUMBAWA - BIMA MO, SUMBAWA, MOYO HILIR, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00119402;CENTRAL REZEKI AGRINDOTAMA, PT.;037304032022;1276272;Granted;;354.125;354.125;25;36.9897;02548789-000SU/0620222027;0001;HT 01 BERGERAK SEKITAR JALAN LINTAS SUMBAWA - BIMA MO;JALAN LINTAS SUMBAWA - BIMA MO;-8.53808333;117.46797222;21/03/2022;20/03/2027;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN LINTAS SUMBAWA KEC MOYO, SUMBAWA, MOYO HILIR, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00118843;SANTOSA UTAMA LESTARI, PT.;030213112021;1210984;Granted;;150.1;150.1;25;36.9897;02507145-000SU/0620212026;0002;HT 02 - 7 BERGERAK SEKITAR  JALAN LINTAS SUMBAWA KEC MOYO;JALAN LINTAS SUMBAWA KEC MOYO;-8.53341667;117.45916667;07/12/2021;06/12/2026;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN RAYA JURUSAN BIMA KM. 07, SUMBAWA, UNTER IWES, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00118799;LEMBAGA PEMASYARAKATAN KELAS IIA SUMBAWA BESAR;039703112021;1201323;Granted;;409.7;409.7;25;36.9897;02500757-000SU/0620212026;0001;HT 01 BERGERAK SEKITAR JALAN RAYA JURUSAN BIMA KM. 07;JALAN RAYA JURUSAN BIMA KM. 07;-8.53377778;117.45691667;17/11/2021;16/11/2026;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;SUMBAWA, ROPANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00113429;SUMBAWA JUTARAYA, PT.;032390092020;0963570;Granted;;155.25;155.25;16;38.9897;02340460-000SU/0620202025;0002;MU. 02 - 06 BERGERAK SEKITAR KEC. ROPANG;E.G. MOHON DIISI ALAMAT NAMA JALAN, NOMOR  DAN KELURAHAN;-8.95480556;117.53316667;15/09/2020;14/09/2025;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA LEBANGKAR, KEC. ROPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, ROPANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00113429;SUMBAWA JUTARAYA, PT.;032394092020;0963568;Granted;;150.05;150.05;16;38.9897;02340448-000SU/0620202025;0002;MU.02-06 BERGERAK SEKITAR KEC. ROPANG;DESA LEBANGKAR, KEC. ROPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT;-8.95480556;117.53316667;15/09/2020;14/09/2025;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA LEBANGKAR, KEC. ROPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, ROPANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00113429;SUMBAWA JUTARAYA, PT.;032392092020;0963569;Granted;;159.85;159.85;16;38.9897;02340456-000SU/0620202025;0004;MU.10 BERGERAK SEKITAR KEC. ROPANG;DESA LEBANGKAR, KEC. ROPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT;-8.95480556;117.53316667;15/09/2020;14/09/2025;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;RAYA LINTAS SUMBAWA KM 5,6 DESA BOAK, SUMBAWA, UNTER IWES, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00115081;SEGER AGRO NUSANTARA, PT.;037910072020;0921738;Granted;;152.775;152.775;16;36.9897;02304076-000SU/0620202025;0001;HT 01 BERGERAK SEKITAR KEC. UNTER IWES;RAYA LINTAS SUMBAWA KM 5,6 DESA BOAK;-8.53519444;117.45805556;08/07/2020;07/07/2025;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN GARUDA NO. 41 SUMBAWA BESAR KELURAHAN LEMPEH, SUMBAWA, SUMBAWA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00115397;MERPATI ANGKASA ABADI, PT.;031040102019;0792286;Granted;;160.025;160.025;16;36.9897;02175363-000SU/0620192024;0001;HT. 01 BERGERAK SEKITAR JL. GARUDA NO. 41 SUMBAWA BESAR;JALAN GARUDA NO. 41 SUMBAWA BESAR KELURAHAN LEMPEH;-8.48841667;117.41505556;30/10/2019;29/10/2029;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DESA LEBANGKAR, KEC. ROPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, ROPANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00113429;SUMBAWA JUTARAYA, PT.;037701012020;0846400;Granted;;155.65;155.65;16;38.9897;02239048-000SU/0620202025;0002;MU.02-06 BERGERAK SEKITAR KEC. ROPANG;DESA LEBANGKAR, KEC. ROPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT;-8.95480556;117.53316667;27/01/2020;26/01/2030;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA, SUMBAWA, LABUHAN BADAS, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00113837;MAN DIESEL & TURBO INDONESIA, PT.;038369102018;0645641;Granted;;150.025;150.025;16;36.9897;02056746-000SU/0620182023;0001;HT. 01 BERGERAK SEKITAR JL. LINTAS SUMBAWA;JL. LINTAS SUMBAWA;-8.45002778;117.33511111;09/10/2018;08/10/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Aeronautical;Ground-To-Air;Elang Dodo Radio Room, Desa Ledang,SUMBAWA,LUNYUK,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;7927;AMMAN MINERAL NUSA TENGGARA, PT;00262062023;363/DU/SDPPI/2023;Granted;;122.95;;0;36.30098;;0001;Dodo Radio;Elang Dodo Radio Room, Desa Ledang;-8.96583333;117.38388889;26/06/2023;25/06/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;2. Penerbangan VHF (108 – 137 MHz)
Broadcast;DVB-T;NUSA TENGGARA BARAT - 4;NUSA TENGGARA BARAT;SUMBAWA;2073;LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA;012772022022;1263971;Granted;;546;;8000;42;02541862-000SU/2020222027;0001;TVRI BTS 4G TELAGA NTB;TELAGA NTB;-8.74678056;117.29303889;22/02/2022;21/02/2027;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;8. Televisi UHF, IMT (478 – 806 MHz)
Land Mobile (private);Standard;JALAN GARUDA, SUMBAWA, LABUHAN BADAS, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;2602;DIREKTORAT JENDERAL BEA DAN CUKAI;031218072021;1132009;Granted;;367.1;362.1;16;40.62;02463650-000SU/0620212026;0004;MU-1. KPPBC TMP C SUMBAWA;JALAN GARUDA;-8.47298333;117.40336667;03/07/2021;02/07/2026;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA.DESA ALAS DALAM, SUMBAWA, ALAS, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00103494;PLN (PERSERO), PT.;036847012020;0840877;Granted;;359.1;364.1;16;45.9794;02233935-000SU/2620202025;0001;BS. ULP_ALAS;JL. LINTAS SUMBAWA.DESA ALAS DALAM;-8.51367778;116.99348333;14/01/2020;13/01/2030;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA-BIMA KM 41 SIMU, SUMBAWA, MARONGE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00103494;PLN (PERSERO), PT.;036916012020;0841162;Granted;;352.125;352.125;16;45.9794;02234356-000SU/2620202025;0001;BS. LINK_MARONGE;JL. LINTAS SUMBAWA-BIMA KM 41 SIMU;-8.678075;117.70440278;15/01/2020;14/01/2030;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;SUMBAWA;49561;KALIMANTAN PRIMA PERSADA, PT.;037498082024;3517225;Granted;;168.025;168.025;16;46.9794;02914874-000SU/0620242029;0002;MU. 01-46 BERGERAK SEKITAR DESA RANAN KEC ROPANG;JALAN PANGULIR KM. 5 DESA RANAN KEC ROPANG;-8.96527778;117.54083333;09/09/2024;08/09/2029;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;DODO, DESA LUNYUK ODE, KECAMATAN LUNYUK, KABUPATEN SUMBAWA, NUSA TENGGARA BARAT, SUMBAWA, LUNYUK, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;7927;AMMAN MINERAL NUSA TENGGARA, PT;036991072022;1462832;Granted;;152.45;158.525;16;44.9794;02587596-000SU/2620222027;0001;REP. RADIO  VHF  ELANG;DODO, DESA LUNYUK ODE, KECAMATAN LUNYUK, KABUPATEN SUMBAWA, NUSA TENGGARA BARAT;-8.9657;117.384;11/08/2022;10/08/2027;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;KANTOR DINAS DAMKAR KABUPATEN SUMBAWA JALAN CENDRAWASIH NO. 158 SUMBAWA BESAR KEL BRANG BIJI, SUMBAWA, SUMBAWA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00121217;DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN KABUPATEN SUMBAWA;034001032023;1803085;Granted;;165.5;160.475;16;45.9794;02678558-000SU/2620232028;0001;BS. DAMKAR KABUPATEN SUMBAWA;KANTOR DINAS DAMKAR KABUPATEN SUMBAWA JALAN CENDRAWASIH NO. 158 SUMBAWA BESAR KEL BRANG BIJI;-8.47666944;117.41195556;27/03/2023;25/03/2028;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;;NUSA TENGGARA BARAT;SUMBAWA;49561;KALIMANTAN PRIMA PERSADA, PT.;037504082024;3517315;Granted;;150.3;150.3;16;46.9794;02914882-000SU/0620242029;0002;MU. 01-46 BERGERAK SEKITAR DESA RANAN KEC ROPANG;JALAN PANGULIR KM. 5 DESA RANAN KEC ROPANG;-8.99666667;117.54055556;09/09/2024;08/09/2029;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. LINTAS SUMBAWA- BIMA, SUMBAWA, LAPE, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;SUMBAWA;00103494;PLN (PERSERO), PT.;036950012020;0841166;Granted;;352.2;352.2;16;45.9794;02234385-000SU/2620202025;0001;BS. LINK_LAPE;JL. LINTAS SUMBAWA- BIMA;-8.62279722;117.59665556;15/01/2020;14/01/2030;;;;;SUMBAWA;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
